PassengerId,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Missing_Cabin,DeckNum,Missing_Age,members,Pclass Sex,Pclass Age,Pclass SibSp,Pclass Parch,Pclass Fare,Pclass Embarked,Pclass Missing_Cabin,Pclass DeckNum,Pclass Missing_Age,Pclass members,Sex Age,Sex SibSp,Sex Parch,Sex Fare,Sex Embarked,Sex Missing_Cabin,Sex DeckNum,Sex Missing_Age,Sex members,Age SibSp,Age Parch,Age Fare,Age Embarked,Age Missing_Cabin,Age DeckNum,Age Missing_Age,Age members,SibSp Parch,SibSp Fare,SibSp Embarked,SibSp Missing_Cabin,SibSp DeckNum,SibSp Missing_Age,SibSp members,Parch Fare,Parch Embarked,Parch Missing_Cabin,Parch DeckNum,Parch Missing_Age,Parch members,Fare Embarked,Fare Missing_Cabin,Fare DeckNum,Fare Missing_Age,Fare members,Embarked Missing_Cabin,Embarked DeckNum,Embarked Missing_Age,Embarked members,Missing_Cabin DeckNum,Missing_Cabin Missing_Age,Missing_Cabin members,DeckNum Missing_Age,DeckNum members,Missing_Age members,Survived
11,3.0,1.0,4.0,1.0,1.0,16.7,2.0,0.0,6.0,0.0,2.0,3.0,12.0,3.0,3.0,50.099999999999994,6.0,0.0,18.0,0.0,6.0,4.0,1.0,1.0,16.7,2.0,0.0,6.0,0.0,2.0,4.0,4.0,66.8,8.0,0.0,24.0,0.0,8.0,1.0,16.7,2.0,0.0,6.0,0.0,2.0,16.7,2.0,0.0,6.0,0.0,2.0,33.4,0.0,100.19999999999999,0.0,33.4,0.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,12.0,0.0,1
12,1.0,1.0,58.0,0.0,0.0,26.55,2.0,0.0,2.0,0.0,1.0,1.0,58.0,0.0,0.0,26.55,2.0,0.0,2.0,0.0,1.0,58.0,0.0,0.0,26.55,2.0,0.0,2.0,0.0,1.0,0.0,0.0,1539.9,116.0,0.0,116.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.1,0.0,53.1,0.0,26.55,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1
13,3.0,0.0,20.0,0.0,0.0,8.05,2.0,1.0,-1.0,0.0,1.0,0.0,60.0,0.0,0.0,24.150000000000002,6.0,3.0,-3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,161.0,40.0,20.0,-20.0,0.0,20.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,16.1,8.05,-8.05,0.0,8.05,2.0,-2.0,0.0,2.0,-1.0,0.0,1.0,-0.0,-1.0,0.0,0
14,3.0,0.0,39.0,1.0,5.0,31.275,2.0,1.0,-1.0,0.0,7.0,0.0,117.0,3.0,15.0,93.82499999999999,6.0,3.0,-3.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,39.0,195.0,1219.725,78.0,39.0,-39.0,0.0,273.0,5.0,31.275,2.0,1.0,-1.0,0.0,7.0,156.375,10.0,5.0,-5.0,0.0,35.0,62.55,31.275,-31.275,0.0,218.92499999999998,2.0,-2.0,0.0,14.0,-1.0,0.0,7.0,-0.0,-7.0,0.0,0
15,3.0,1.0,14.0,0.0,0.0,7.8542,2.0,1.0,-1.0,0.0,1.0,3.0,42.0,0.0,0.0,23.5626,6.0,3.0,-3.0,0.0,3.0,14.0,0.0,0.0,7.8542,2.0,1.0,-1.0,0.0,1.0,0.0,0.0,109.9588,28.0,14.0,-14.0,0.0,14.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,15.7084,7.8542,-7.8542,0.0,7.8542,2.0,-2.0,0.0,2.0,-1.0,0.0,1.0,-0.0,-1.0,0.0,0
16,2.0,1.0,55.0,0.0,0.0,16.0,2.0,1.0,-1.0,0.0,1.0,2.0,110.0,0.0,0.0,32.0,4.0,2.0,-2.0,0.0,2.0,55.0,0.0,0.0,16.0,2.0,1.0,-1.0,0.0,1.0,0.0,0.0,880.0,110.0,55.0,-55.0,0.0,55.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,32.0,16.0,-16.0,0.0,16.0,2.0,-2.0,0.0,2.0,-1.0,0.0,1.0,-0.0,-1.0,0.0,1
17,3.0,0.0,2.0,4.0,1.0,29.125,1.0,1.0,-1.0,0.0,5.0,0.0,6.0,12.0,3.0,87.375,3.0,3.0,-3.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,8.0,2.0,58.25,2.0,2.0,-2.0,0.0,10.0,4.0,116.5,4.0,4.0,-4.0,0.0,20.0,29.125,1.0,1.0,-1.0,0.0,5.0,29.125,29.125,-29.125,0.0,145.625,1.0,-1.0,0.0,5.0,-1.0,0.0,5.0,-0.0,-5.0,0.0,0
18,2.0,0.0,-1.0,0.0,0.0,13.0,2.0,1.0,-1.0,1.0,1.0,0.0,-2.0,0.0,0.0,26.0,4.0,2.0,-2.0,2.0,2.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-13.0,-2.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,26.0,13.0,-13.0,13.0,13.0,2.0,-2.0,2.0,2.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1
19,3.0,1.0,31.0,1.0,0.0,18.0,2.0,1.0,-1.0,0.0,1.0,3.0,93.0,3.0,0.0,54.0,6.0,3.0,-3.0,0.0,3.0,31.0,1.0,0.0,18.0,2.0,1.0,-1.0,0.0,1.0,31.0,0.0,558.0,62.0,31.0,-31.0,0.0,31.0,0.0,18.0,2.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,36.0,18.0,-18.0,0.0,18.0,2.0,-2.0,0.0,2.0,-1.0,0.0,1.0,-0.0,-1.0,0.0,0
20,3.0,1.0,-1.0,0.0,0.0,7.225,0.0,1.0,-1.0,1.0,1.0,3.0,-3.0,0.0,0.0,21.674999999999997,0.0,3.0,-3.0,3.0,3.0,-1.0,0.0,0.0,7.225,0.0,1.0,-1.0,1.0,1.0,-0.0,-0.0,-7.225,-0.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,7.225,-7.225,7.225,7.225,0.0,-0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1
21,2.0,0.0,35.0,0.0,0.0,26.0,2.0,1.0,-1.0,0.0,2.0,0.0,70.0,0.0,0.0,52.0,4.0,2.0,-2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,910.0,70.0,35.0,-35.0,0.0,70.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,52.0,26.0,-26.0,0.0,52.0,2.0,-2.0,0.0,4.0,-1.0,0.0,2.0,-0.0,-2.0,0.0,0
22,2.0,0.0,34.0,0.0,0.0,13.0,2.0,0.0,3.0,0.0,1.0,0.0,68.0,0.0,0.0,26.0,4.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,442.0,68.0,0.0,102.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,39.0,0.0,13.0,0.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1
23,3.0,1.0,15.0,0.0,0.0,8.0292,1.0,1.0,-1.0,0.0,1.0,3.0,45.0,0.0,0.0,24.0876,3.0,3.0,-3.0,0.0,3.0,15.0,0.0,0.0,8.0292,1.0,1.0,-1.0,0.0,1.0,0.0,0.0,120.43799999999999,15.0,15.0,-15.0,0.0,15.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,8.0292,8.0292,-8.0292,0.0,8.0292,1.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-0.0,-1.0,0.0,1
24,1.0,0.0,28.0,0.0,0.0,35.5,2.0,0.0,0.0,0.0,1.0,0.0,28.0,0.0,0.0,35.5,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,994.0,56.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,35.5,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1
25,3.0,1.0,8.0,3.0,1.0,21.075,2.0,1.0,-1.0,0.0,4.0,3.0,24.0,9.0,3.0,63.224999999999994,6.0,3.0,-3.0,0.0,12.0,8.0,3.0,1.0,21.075,2.0,1.0,-1.0,0.0,4.0,24.0,8.0,168.6,16.0,8.0,-8.0,0.0,32.0,3.0,63.224999999999994,6.0,3.0,-3.0,0.0,12.0,21.075,2.0,1.0,-1.0,0.0,4.0,42.15,21.075,-21.075,0.0,84.3,2.0,-2.0,0.0,8.0,-1.0,0.0,4.0,-0.0,-4.0,0.0,0
26,3.0,1.0,38.0,1.0,5.0,31.3875,2.0,1.0,-1.0,0.0,4.0,3.0,114.0,3.0,15.0,94.1625,6.0,3.0,-3.0,0.0,12.0,38.0,1.0,5.0,31.3875,2.0,1.0,-1.0,0.0,4.0,38.0,190.0,1192.725,76.0,38.0,-38.0,0.0,152.0,5.0,31.3875,2.0,1.0,-1.0,0.0,4.0,156.9375,10.0,5.0,-5.0,0.0,20.0,62.775,31.3875,-31.3875,0.0,125.55,2.0,-2.0,0.0,8.0,-1.0,0.0,4.0,-0.0,-4.0,0.0,1
27,3.0,0.0,-1.0,0.0,0.0,7.225,0.0,1.0,-1.0,1.0,1.0,0.0,-3.0,0.0,0.0,21.674999999999997,0.0,3.0,-3.0,3.0,3.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-7.225,-0.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,7.225,-7.225,7.225,7.225,0.0,-0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0
28,1.0,0.0,19.0,3.0,2.0,263.0,2.0,0.0,2.0,0.0,4.0,0.0,19.0,3.0,2.0,263.0,2.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,38.0,4997.0,38.0,0.0,38.0,0.0,76.0,6.0,789.0,6.0,0.0,6.0,0.0,12.0,526.0,4.0,0.0,4.0,0.0,8.0,526.0,0.0,526.0,0.0,1052.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,0
29,3.0,1.0,-1.0,0.0,0.0,7.8792,1.0,1.0,-1.0,1.0,1.0,3.0,-3.0,0.0,0.0,23.6376,3.0,3.0,-3.0,3.0,3.0,-1.0,0.0,0.0,7.8792,1.0,1.0,-1.0,1.0,1.0,-0.0,-0.0,-7.8792,-1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,7.8792,7.8792,-7.8792,7.8792,7.8792,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1
30,3.0,0.0,-1.0,0.0,0.0,7.8958,2.0,1.0,-1.0,1.0,1.0,0.0,-3.0,0.0,0.0,23.6874,6.0,3.0,-3.0,3.0,3.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-7.8958,-2.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,15.7916,7.8958,-7.8958,7.8958,7.8958,2.0,-2.0,2.0,2.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0
31,1.0,0.0,40.0,0.0,0.0,27.7208,0.0,1.0,-1.0,0.0,1.0,0.0,40.0,0.0,0.0,27.7208,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,1108.832,0.0,40.0,-40.0,0.0,40.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,27.7208,-27.7208,0.0,27.7208,0.0,-0.0,0.0,0.0,-1.0,0.0,1.0,-0.0,-1.0,0.0,0
32,1.0,1.0,-1.0,1.0,0.0,146.5208,0.0,0.0,1.0,1.0,2.0,1.0,-1.0,1.0,0.0,146.5208,0.0,0.0,1.0,1.0,2.0,-1.0,1.0,0.0,146.5208,0.0,0.0,1.0,1.0,2.0,-1.0,-0.0,-146.5208,-0.0,-0.0,-1.0,-1.0,-2.0,0.0,146.5208,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.5208,146.5208,293.0416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1
33,3.0,1.0,-1.0,0.0,0.0,7.75,1.0,1.0,-1.0,1.0,1.0,3.0,-3.0,0.0,0.0,23.25,3.0,3.0,-3.0,3.0,3.0,-1.0,0.0,0.0,7.75,1.0,1.0,-1.0,1.0,1.0,-0.0,-0.0,-7.75,-1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,7.75,7.75,-7.75,7.75,7.75,1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1
34,2.0,0.0,66.0,0.0,0.0,10.5,2.0,1.0,-1.0,0.0,1.0,0.0,132.0,0.0,0.0,21.0,4.0,2.0,-2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,693.0,132.0,66.0,-66.0,0.0,66.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,21.0,10.5,-10.5,0.0,10.5,2.0,-2.0,0.0,2.0,-1.0,0.0,1.0,-0.0,-1.0,0.0,0
35,1.0,0.0,28.0,1.0,0.0,82.1708,0.0,1.0,-1.0,0.0,2.0,0.0,28.0,1.0,0.0,82.1708,0.0,1.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,28.0,0.0,2300.7824,0.0,28.0,-28.0,0.0,56.0,0.0,82.1708,0.0,1.0,-1.0,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,82.1708,-82.1708,0.0,164.3416,0.0,-0.0,0.0,0.0,-1.0,0.0,2.0,-0.0,-2.0,0.0,0
36,1.0,0.0,42.0,1.0,0.0,52.0,2.0,1.0,-1.0,0.0,2.0,0.0,42.0,1.0,0.0,52.0,2.0,1.0,-1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,42.0,0.0,2184.0,84.0,42.0,-42.0,0.0,84.0,0.0,52.0,2.0,1.0,-1.0,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0,104.0,52.0,-52.0,0.0,104.0,2.0,-2.0,0.0,4.0,-1.0,0.0,2.0,-0.0,-2.0,0.0,0
37,3.0,0.0,-1.0,0.0,0.0,7.2292,0.0,1.0,-1.0,1.0,1.0,0.0,-3.0,0.0,0.0,21.6876,0.0,3.0,-3.0,3.0,3.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-7.2292,-0.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,7.2292,-7.2292,7.2292,7.2292,0.0,-0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1
38,3.0,0.0,21.0,0.0,0.0,8.05,2.0,1.0,-1.0,0.0,1.0,0.0,63.0,0.0,0.0,24.150000000000002,6.0,3.0,-3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,169.05,42.0,21.0,-21.0,0.0,21.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,16.1,8.05,-8.05,0.0,8.05,2.0,-2.0,0.0,2.0,-1.0,0.0,1.0,-0.0,-1.0,0.0,0
39,3.0,1.0,18.0,2.0,0.0,18.0,2.0,1.0,-1.0,0.0,2.0,3.0,54.0,6.0,0.0,54.0,6.0,3.0,-3.0,0.0,6.0,18.0,2.0,0.0,18.0,2.0,1.0,-1.0,0.0,2.0,36.0,0.0,324.0,36.0,18.0,-18.0,0.0,36.0,0.0,36.0,4.0,2.0,-2.0,0.0,4.0,0.0,0.0,0.0,-0.0,0.0,0.0,36.0,18.0,-18.0,0.0,36.0,2.0,-2.0,0.0,4.0,-1.0,0.0,2.0,-0.0,-2.0,0.0,0
40,3.0,1.0,14.0,1.0,0.0,11.2417,0.0,1.0,-1.0,0.0,2.0,3.0,42.0,3.0,0.0,33.7251,0.0,3.0,-3.0,0.0,6.0,14.0,1.0,0.0,11.2417,0.0,1.0,-1.0,0.0,2.0,14.0,0.0,157.3838,0.0,14.0,-14.0,0.0,28.0,0.0,11.2417,0.0,1.0,-1.0,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,11.2417,-11.2417,0.0,22.4834,0.0,-0.0,0.0,0.0,-1.0,0.0,2.0,-0.0,-2.0,0.0,1
41,3.0,1.0,40.0,1.0,0.0,9.475,2.0,1.0,-1.0,0.0,1.0,3.0,120.0,3.0,0.0,28.424999999999997,6.0,3.0,-3.0,0.0,3.0,40.0,1.0,0.0,9.475,2.0,1.0,-1.0,0.0,1.0,40.0,0.0,379.0,80.0,40.0,-40.0,0.0,40.0,0.0,9.475,2.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,0.0,18.95,9.475,-9.475,0.0,9.475,2.0,-2.0,0.0,2.0,-1.0,0.0,1.0,-0.0,-1.0,0.0,0
42,2.0,1.0,27.0,1.0,0.0,21.0,2.0,1.0,-1.0,0.0,2.0,2.0,54.0,2.0,0.0,42.0,4.0,2.0,-2.0,0.0,4.0,27.0,1.0,0.0,21.0,2.0,1.0,-1.0,0.0,2.0,27.0,0.0,567.0,54.0,27.0,-27.0,0.0,54.0,0.0,21.0,2.0,1.0,-1.0,0.0,2.0,0.0,0.0,0.0,-0.0,0.0,0.0,42.0,21.0,-21.0,0.0,42.0,2.0,-2.0,0.0,4.0,-1.0,0.0,2.0,-0.0,-2.0,0.0,0
43,3.0,0.0,-1.0,0.0,0.0,7.8958,0.0,1.0,-1.0,1.0,1.0,0.0,-3.0,0.0,0.0,23.6874,0.0,3.0,-3.0,3.0,3.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-7.8958,-0.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,7.8958,-7.8958,7.8958,7.8958,0.0,-0.0,0.0,0.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0
44,2.0,1.0,3.0,1.0,2.0,41.5792,0.0,1.0,-1.0,0.0,3.0,2.0,6.0,2.0,4.0,83.1584,0.0,2.0,-2.0,0.0,6.0,3.0,1.0,2.0,41.5792,0.0,1.0,-1.0,0.0,3.0,3.0,6.0,124.7376,0.0,3.0,-3.0,0.0,9.0,2.0,41.5792,0.0,1.0,-1.0,0.0,3.0,83.1584,0.0,2.0,-2.0,0.0,6.0,0.0,41.5792,-41.5792,0.0,124.7376,0.0,-0.0,0.0,0.0,-1.0,0.0,3.0,-0.0,-3.0,0.0,1
45,3.0,1.0,19.0,0.0,0.0,7.8792,1.0,1.0,-1.0,0.0,1.0,3.0,57.0,0.0,0.0,23.6376,3.0,3.0,-3.0,0.0,3.0,19.0,0.0,0.0,7.8792,1.0,1.0,-1.0,0.0,1.0,0.0,0.0,149.7048,19.0,19.0,-19.0,0.0,19.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,7.8792,7.8792,-7.8792,0.0,7.8792,1.0,-1.0,0.0,1.0,-1.0,0.0,1.0,-0.0,-1.0,0.0,1
